Line,BeforeContext,DefaultContext,AfterContext,jaccard,tarantula,ochiai,dstar
org.apache.commons.lang.math.Fraction#107,-1,-1,-1,0.0400,0.5000,0.2000,0.0417
org.apache.commons.lang.math.Fraction#111,-1,-1,-1,0.0400,0.5000,0.2000,0.0417
org.apache.commons.lang.math.Fraction#115,-1,-1,-1,0.0400,0.5000,0.2000,0.0417
org.apache.commons.lang.math.Fraction#125,106,105,104,0.0400,0.5000,0.2000,0.0417
org.apache.commons.lang.math.Fraction#126,104,107,109,0.0400,0.5000,0.2000,0.0417
org.apache.commons.lang.math.Fraction#127,109,108,13,0.0400,0.5000,0.2000,0.0417
org.apache.commons.lang.math.Fraction#128,-1,-1,-1,0.0400,0.5000,0.2000,0.0417
org.apache.commons.lang.math.Fraction#142,76,319,321,0.0625,0.6154,0.2500,0.0667
org.apache.commons.lang.math.Fraction#145,321,320,133,0.0625,0.6154,0.2500,0.0667
org.apache.commons.lang.math.Fraction#146,82,81,84,0.2000,0.8571,0.4472,0.2500
org.apache.commons.lang.math.Fraction#150,84,83,80,0.2000,0.8571,0.4472,0.2500
org.apache.commons.lang.math.Fraction#151,80,67,13,0.2000,0.8571,0.4472,0.2500
org.apache.commons.lang.math.Fraction#153,133,126,103,0.0625,0.6154,0.2500,0.0667
org.apache.commons.lang.math.Fraction#368,15,14,16,0.0455,0.5333,0.2132,0.0476
org.apache.commons.lang.math.Fraction#377,15,14,16,0.0455,0.5333,0.2132,0.0476
org.apache.commons.lang.math.Fraction#466,49,111,112,1.0000,1.0000,1.0000,Infinity
org.apache.commons.lang.math.Fraction#467,112,110,114,1.0000,1.0000,1.0000,Infinity
org.apache.commons.lang.math.Fraction#468,15,14,16,1.0000,1.0000,1.0000,Infinity
org.apache.commons.lang.math.Fraction#470,114,113,103,1.0000,1.0000,1.0000,Infinity
org.apache.commons.lang.math.Fraction#48,-1,-1,-1,0.0400,0.5000,0.2000,0.0417
org.apache.commons.lang.math.Fraction#52,-1,-1,-1,0.0400,0.5000,0.2000,0.0417
org.apache.commons.lang.math.Fraction#56,-1,-1,-1,0.0400,0.5000,0.2000,0.0417
org.apache.commons.lang.math.Fraction#571,76,596,598,0.1000,0.7273,0.3162,0.1111
org.apache.commons.lang.math.Fraction#572,15,14,16,0.1000,0.7273,0.3162,0.1111
org.apache.commons.lang.math.Fraction#578,115,116,117,0.1111,0.7500,0.3333,0.1250
org.apache.commons.lang.math.Fraction#579,115,116,117,0.1111,0.7500,0.3333,0.1250
org.apache.commons.lang.math.Fraction#581,1080,1079,45,0.1111,0.7500,0.3333,0.1250
org.apache.commons.lang.math.Fraction#582,45,1081,1083,0.1111,0.7500,0.3333,0.1250
org.apache.commons.lang.math.Fraction#585,1083,1082,1085,0.1111,0.7500,0.3333,0.1250
org.apache.commons.lang.math.Fraction#590,1085,1084,1087,0.1111,0.7500,0.3333,0.1250
org.apache.commons.lang.math.Fraction#596,5135,-1,-1,0.1111,0.7500,0.3333,0.1250
org.apache.commons.lang.math.Fraction#60,-1,-1,-1,0.0400,0.5000,0.2000,0.0417
org.apache.commons.lang.math.Fraction#600,-1,-1,5168,0.1111,0.7500,0.3333,0.1250
org.apache.commons.lang.math.Fraction#601,115,116,117,0.1111,0.7500,0.3333,0.1250
org.apache.commons.lang.math.Fraction#603,115,116,117,0.1111,0.7500,0.3333,0.1250
org.apache.commons.lang.math.Fraction#606,5168,5167,428,0.1111,0.7500,0.3333,0.1250
org.apache.commons.lang.math.Fraction#609,-1,-1,-1,0.1111,0.7500,0.3333,0.1250
org.apache.commons.lang.math.Fraction#610,1089,1088,1090,0.1111,0.7500,0.3333,0.1250
org.apache.commons.lang.math.Fraction#64,-1,-1,-1,0.0400,0.5000,0.2000,0.0417
org.apache.commons.lang.math.Fraction#68,-1,-1,-1,0.0400,0.5000,0.2000,0.0417
org.apache.commons.lang.math.Fraction#72,-1,-1,-1,0.0400,0.5000,0.2000,0.0417
org.apache.commons.lang.math.Fraction#76,-1,-1,-1,0.0400,0.5000,0.2000,0.0417
org.apache.commons.lang.math.Fraction#80,-1,-1,-1,0.0400,0.5000,0.2000,0.0417
org.apache.commons.lang.math.Fraction#84,-1,-1,-1,0.0400,0.5000,0.2000,0.0417
org.apache.commons.lang.math.Fraction#88,-1,-1,-1,0.0400,0.5000,0.2000,0.0417
org.apache.commons.lang.math.Fraction#92,-1,-1,-1,0.0400,0.5000,0.2000,0.0417
