Line,BeforeContext,DefaultContext,AfterContext,jaccard,tarantula,ochiai,dstar
com.google.javascript.jscomp.AbstractCompiler#275,-1,-1,-1,0.0002,0.5020,0.0176,0.0003
com.google.javascript.jscomp.AbstractCompiler#276,-1,-1,-1,0.0002,0.5020,0.0124,0.0002
com.google.javascript.jscomp.AbstractCompiler#279,-1,-1,-1,0.0002,0.5020,0.0124,0.0002
com.google.javascript.jscomp.AbstractCompiler#284,-1,-1,-1,0.0002,0.5020,0.0124,0.0002
com.google.javascript.jscomp.AbstractCompiler#40,-1,-1,-1,0.0002,0.5020,0.0124,0.0002
com.google.javascript.jscomp.AbstractCompiler#41,-1,-1,-1,0.0002,0.5020,0.0124,0.0002
com.google.javascript.jscomp.AbstractCompiler#44,-1,-1,-1,0.0002,0.5020,0.0124,0.0002
com.google.javascript.jscomp.AbstractMessageFormatter#32,-1,-1,-1,0.0002,0.5027,0.0124,0.0002
com.google.javascript.jscomp.AbstractMessageFormatter#33,115,116,117,0.0002,0.5027,0.0124,0.0002
com.google.javascript.jscomp.AbstractMessageFormatter#34,-1,-1,-1,0.0002,0.5027,0.0124,0.0002
com.google.javascript.jscomp.AbstractMessageFormatter#37,115,116,117,0.0002,0.5027,0.0124,0.0002
com.google.javascript.jscomp.AbstractMessageFormatter#38,-1,-1,-1,0.0002,0.5027,0.0124,0.0002
com.google.javascript.jscomp.AbstractMessageFormatter#47,-1,-1,-1,0.0002,0.5027,0.0124,0.0002
com.google.javascript.jscomp.AnonymousFunctionNamingPolicy#23,-1,-1,-1,0.0002,0.5025,0.0124,0.0002
com.google.javascript.jscomp.AnonymousFunctionNamingPolicy#26,-1,-1,-1,0.0002,0.5025,0.0124,0.0002
com.google.javascript.jscomp.AnonymousFunctionNamingPolicy#34,-1,-1,-1,0.0002,0.5025,0.0124,0.0002
com.google.javascript.jscomp.AnonymousFunctionNamingPolicy#42,-1,-1,-1,0.0002,0.5025,0.0124,0.0002
com.google.javascript.jscomp.AnonymousFunctionNamingPolicy#47,-1,-1,-1,0.0002,0.5025,0.0124,0.0002
com.google.javascript.jscomp.AnonymousFunctionNamingPolicy#48,115,116,117,0.0002,0.5025,0.0124,0.0002
com.google.javascript.jscomp.AnonymousFunctionNamingPolicy#49,-1,-1,-1,0.0002,0.5025,0.0124,0.0002
com.google.javascript.jscomp.AstValidator#101,-1,-1,-1,0.0004,0.7454,0.0212,0.0004
com.google.javascript.jscomp.AstValidator#102,-1,-1,88,0.0004,0.7454,0.0212,0.0004
com.google.javascript.jscomp.AstValidator#119,-1,-1,-1,0.0031,0.9534,0.0559,0.0031
com.google.javascript.jscomp.AstValidator#120,-1,-1,88,0.0031,0.9535,0.0560,0.0031
com.google.javascript.jscomp.AstValidator#122,-1,-1,-1,0.0003,0.6885,0.0184,0.0003
com.google.javascript.jscomp.AstValidator#123,-1,-1,88,0.0003,0.6885,0.0184,0.0003
com.google.javascript.jscomp.AstValidator#125,-1,-1,-1,0.0003,0.6664,0.0175,0.0003
com.google.javascript.jscomp.AstValidator#126,-1,-1,88,0.0003,0.6664,0.0175,0.0003
com.google.javascript.jscomp.AstValidator#128,-1,-1,-1,0.0014,0.8995,0.0370,0.0014
com.google.javascript.jscomp.AstValidator#129,-1,-1,88,0.0014,0.8995,0.0370,0.0014
com.google.javascript.jscomp.AstValidator#143,-1,-1,-1,0.0036,0.9593,0.0600,0.0036
